Date,Bitcoin,Dogecoin,Etherium
2021-01-17,35791.27734375,0.0090669998899102,1230.1722412109375
2021-01-18,36630.07421875,0.0091709997504949,1257.279541015625
2021-01-19,36069.8046875,0.0090979998931288,1377.2958984375
2021-01-20,35547.75,0.0090600000694394,1382.2740478515625
2021-01-21,30825.69921875,0.0081660002470016,1121.5709228515625
2021-01-22,33005.76171875,0.0085239997133612,1236.51220703125
2021-01-23,32067.642578125,0.0085789998993277,1230.9906005859375
2021-01-24,32289.37890625,0.0087270000949501,1391.609375
2021-01-25,32366.392578125,0.0083830002695322,1324.414794921875
2021-01-26,32569.849609375,0.0082550002261996,1357.05810546875
2021-01-27,30432.546875,0.0074820001609623,1253.1871337890625
2021-01-28,33466.09765625,0.0340839996933937,1332.4921875
2021-01-29,34316.38671875,0.0471620000898838,1382.5228271484375
2021-01-30,34269.5234375,0.028176000341773,1376.115478515625
2021-01-31,33114.359375,0.0371959991753101,1314.9862060546875
2021-02-01,33537.17578125,0.034875001758337,1369.04052734375
2021-02-02,35510.2890625,0.0315200015902519,1515.1937255859375
2021-02-03,37472.08984375,0.0371199995279312,1660.9095458984375
2021-02-04,36926.06640625,0.0532889999449253,1594.7626953125
2021-02-05,38144.30859375,0.046934999525547,1718.65087890625
2021-02-06,39266.01171875,0.0575949996709823,1677.8468017578125
2021-02-07,38903.44140625,0.0787819996476173,1614.227783203125
2021-02-08,46196.46484375,0.0788249969482421,1746.6168212890625
2021-02-09,46481.10546875,0.0700699985027313,1768.0350341796875
2021-02-10,44918.18359375,0.0728960037231445,1744.243408203125
2021-02-11,47909.33203125,0.0696759968996048,1783.7979736328125
2021-02-12,47504.8515625,0.0700690001249313,1843.5325927734375
2021-02-13,47105.515625,0.0664499998092651,1814.10986328125
2021-02-14,48717.2890625,0.0625369995832443,1805.0841064453125
2021-02-15,47945.05859375,0.0565910004079341,1779.791015625
2021-02-16,49199.87109375,0.0535200014710426,1781.0675048828125
2021-02-17,52149.0078125,0.0493759997189044,1848.458251953125
2021-02-18,51679.796875,0.0595409981906414,1937.44921875
2021-02-19,55888.1328125,0.0551390014588832,1960.164794921875
2021-02-20,56099.51953125,0.0543840005993843,1919.5340576171875
2021-02-21,57539.9453125,0.0559800006449222,1935.60107421875
